ID,Name,Password,Category,Pref1,Pref2,Pref3,Pref4,Department,Marks,JEE_Rank,Allocated
80193,Sandeep Banerjee,BhXxYhlxJ,OBC,APM,IT,CSE,TT,APM,63,663,1
87831,Sneha Das,CzRHZCFR6,ST,IT,CSE,APM,TT,IT,14,938,1
52689,Neha Dutta,XZYt1NqyB,ST,CSE,APM,IT,TT,CSE,66,1931,1
80431,Kunal Iyer,pYqS4dH12,OBC,IT,CSE,TT,APM,IT,63,2488,1
14348,Pranav Mehta,WT8yBOM1w,GEN,CSE,IT,APM,TT,CSE,77,3644,1
5953,Vikas Verma,JahMeLasb,ST,CSE,APM,TT,IT,CSE,78,4390,1
60250,Neha Mandal,aBtgW9k33,GEN,IT,TT,APM,CSE,IT,20,4615,1
68510,Nikhil Sharma,mz3Wox9Uv,SC,IT,APM,TT,CSE,IT,84,4749,1
35969,Ishita Singh,yAxsKMT7K,GEN,CSE,IT,APM,TT,CSE,27,5097,1
60215,Ananya Agarwal,c0Fh3uLs8,GEN,CSE,TT,APM,IT,CSE,99,5121,1
90074,Samrat Kundu,1234,OBC,CSE,IT,TT,APM,CSE,88,6000,1
74998,Sneha Chatterjee,nLtY9PGkW,SC,TT,APM,IT,CSE,TT,18,6113,1
34135,Sandeep Verma,0819ARviS,ST,CSE,APM,TT,IT,CSE,27,6341,1
72117,Ishita Ghosh,D4a7TyXl5,ST,CSE,APM,IT,TT,CSE,12,7092,1
83565,Pranav Verma,FyKrlJ790,SC,CSE,IT,APM,TT,CSE,85,7298,1
27773,Vikas Roy,MfK6R8yY9,ST,IT,APM,TT,CSE,IT,33,7467,1
62949,Neha Verma,VZPkigAgN,GEN,IT,APM,TT,CSE,IT,99,7618,1
11990,Kunal Gupta,4IdB7vtq8,OBC,CSE,IT,APM,TT,CSE,42,9041,1
83736,Ishita Iyer,KEXT2sKB1,GEN,CSE,IT,TT,APM,IT,2,9246,1
20422,Arjun Mukherjee,ZyidDqnij,ST,CSE,APM,TT,IT,APM,3,9418,1
22958,Pooja Saha,rfR91nZ5u,ST,APM,IT,TT,CSE,APM,58,9500,1
32545,Abhishek Ghosh,l2eYxn9lO,OBC,APM,IT,CSE,TT,APM,44,9518,1
15437,Kunal Roy,ugRJdZCpo,ST,APM,TT,CSE,IT,APM,29,10366,1
41063,Shreya Banerjee,uMAPfbn0m,ST,IT,TT,APM,CSE,IT,71,10914,1
46463,Sneha Gupta,i9hIMfEnU,ST,APM,TT,CSE,IT,APM,19,10931,1
33520,Abhishek Mukherjee,Tl2R1xAgb,OBC,TT,IT,CSE,APM,TT,70,11662,1
19301,Swati Mandal,WyaAH3rr6,ST,IT,APM,TT,CSE,IT,65,12069,1
24601,Kavya Saha,HVGilhIpT,OBC,IT,TT,CSE,APM,IT,44,12133,1
4987,Shreya Mehta,jnjTsJsHK,ST,APM,CSE,TT,IT,APM,48,12153,1
78895,Riya Ghosh,xBU5dQc8S,GEN,TT,CSE,APM,IT,TT,55,12283,1
15447,Rohit Agarwal,3U6qoCSpE,ST,APM,TT,IT,CSE,APM,66,12491,1
27750,Anirban Mehta,XTkw9zw6p,SC,CSE,IT,APM,TT,APM,72,13015,1
66422,Sourav Singh,CtQYtE59K,SC,APM,CSE,IT,TT,APM,26,13079,1
76319,Anirban Banerjee,rmB0Cx0at,GEN,CSE,TT,APM,IT,TT,96,13846,1
69137,Tanvi Sharma,y0vj0Jy19,ST,TT,APM,CSE,IT,TT,41,14276,1
36947,Anirban Mandal,dGpd4BDJF,GEN,TT,APM,CSE,IT,TT,46,14918,1
